wj;I
Snbt;hill
Snbtj;shape
Snb(j);grains
Snp;high land
Snp;to come
Snp;foreign vagabond
Snf;name of the barque of the hereafter
Snft;spew
Snft;vomit
Snn;stick out tongue
Snn;pastry
Snn;fold up
Snn;double
Snnt;twist
Snnw;intestine
Snr;cool
Snrf;chest
Sns;knee
SnS;vertex
SnS;rectum
SnSn;feast more abundant
SnSn;snake
Sntt;be amazed
Sntt;latch
SntAjt;bag
SntAjt;Bolt
Sntj;cave
Sntj;smoke
Sntj;earth, nile earth
Sntj;gather, bind
Sntj;stucco
Sntjt;potter's clay
Sntjj;<<in: {inr qAHyt} "polished stone">>
SnT;epithet of the moon
SnT;bind, fetter
SnT;rope, ribbon, fetter
SnT;ladder
SnTt;vomit
SnT-jxt;bury
SnTj;bone
SnTj;bad feature of the heart
SnTj;eat
SnTj;look up
SnTjw;way of driving enemies
SnD;tree
SnDt;?
SnDt;riverboat
SnDtj;service ship
SnDwt;plant
Sr;cry
Sr;star
Sr;creeping plant
Sr;animal
Sr;shape
Sr;birds
Srt;chair
Srt;eye disease
Srt;vomit
Srj;vomit
Srj;City Kusä
Srj;precious stone
Srj;discharge
Srjt;spit out
Srjt;precious mineral
Srjt;udder
Srj-aHAwtj;turn away
Sra;bend
Srwt;to lie down
Srp;upper arm
Srp;angle, corner, side
Srpt;building
Srf;bread
Srm;drink
Srm;priest title in Memphis and Letopolis
Srm;warming sunlight
Srmt;papyrus measure
Srr;shoulder piece
Srr;district
Srr;side length
SrH;vessel
SrH;Henna
SrS;Flour for bread
Srdn;Gold panner
Shb;cargo ship
SHq;Fruits
Ss;Weapon on chariot
Sst;double
Ss;warm yourself
Ss;humble yourself
Ss;kind woodworking
Ss;be cool
Ss;Cool
Ss;libation
Ss;cool wind
Sst;cooling
Sst;name of the temple
SsA;popularity
SsA;plant
SsA;Pitcher
SsAt;foundations
SsAt;joke
SsAt;canopic
SsAw;be cool
SsAw;cool
SsAw;cool wind
SsAw;cool water
SsAjt;ground
Ssj;Throat
Ssjt;part of the human body
Ssp;used in the manufacture of wooden coffins
Ssp;be cool, cool
Ssp;libation offering
Ssp;water dispenser
Ssp;die
Ssp;fly up
Ssp;sacred snakes
Ssp;cooling
Ssp;libation vessel
Ssp;water donation
Sspt;water area
Sspt;name for the sky
Sspt;Water birds
Sspt;Dew
Sspt;goddess of water donation
Ssp;falcon-headed son of Horus
Sspw;Libation vessel
Sspw;genius, son of Re
Sspt-jtrw;be astonished
Ssp-aAt;reputation
Ssp-anx;bend
Ssp-n-HAt;grasp hands
Ssp-rmw;bake
Ssp-ksw;pastry
Sspjw;baün
Ssptjw;job title
Ssmt;baker
Ssmt;cult device
Ssmt;reputation, name
Ssmtj;throwing wood
Ssmtt;throw
Ssm;method of preparing {qmHw} bread
Ssm;create
Ssm;Creator
Ssm;being
Ssm;hammer
Ssmw;lament someone
Ssmw;good quality
Ssmwt;rush
Ssmw;sacred cattle of certain color
Ssr;wrestle
Ssr;product
Ssr;country where myrrh comes from
Ssr;both wailing
Ssr;people in incense lands
Ssr;Worfler
Ssr;Soldiers]
Ssr;Heralds
Ssr;Epithet of Horus
Ssr;Name for water
Ssr;Image of gods in temple
Ssr;dress
Ssr;lament someone
Ssrt;create
Ssrt;disease of female sexual organs
Ssrw;resin
Ssrj;anointing oil
Ssrjt;Traür
Ssr(w);twig, leaves
SsSs;Bread
SS;timpani
SS;think of something
SSt;lament
SSt;noun
Sq;fat, to be fat
Sq;fat
Sq;thrash
Sqb;flail
Sqr;kill
Sqrqbj;Strong
Sqs;lion
Skn;designation of the field plants
Skr;evil, harm
Skr;Mat
Sgnn;finish
Sgr;weave
Sgr;keep away
St;fat
St-pt;strength, bravery
StA;damage
StA;expression in a grain bill
StA;many
StA;the many
StA;team
StA;term for a barren field
StA;many
StA;food
StA;stop bragging
StA;famine year
StA;plant
StAt;strong, be strong
StAt;defeat
StAt;embrace
StAt;embrace, lap
StAt;lap child
StAt;bib as ornament
StAtjj;tie to sheaf
StAw;bodyguard
StAw;carrying chair
StA-st;eye disease
StAj;something that is double in the god's face
StAjt;mineral, red or yellow
Stj;weaver
Stj;carrying chair
Stjt;sheaves
Stjt;name for marsh birds
Stjw;designation for location at king's death temples
Stjw;taming
Stjw;corner
Stjw;officialdom
Stjw;court
Stjw;courthouse
Stw;epithet of the Chnum
Stw;administrative officer
Stb;fragrant wood
Stb;oil
Stb;floor
Stbt;coffin part
Stbt;bury
Stpjt;beat, smash
Stm;piece of meat
Stm;eat
Stqr;island in the afterlife
ST;gods
ST;Tool
ST;god; scribe of Osiris
ST;become angry
ST;Anger
STw;Enraged
STjt;cargo ship
STwt;Cloud
Sd;Person name
Sd;End of the book
Sd;Bolt
Sd;cave, hole
Sd;the two Qüllholes of the Nile
Sd;hinges
Sd;Title
Sd;cloud
Sd;be with someone
Sd;foreign beggar
Sd;shield
Sd;shield holder
Sd;bend
Sd?;food
Sdt;bag
Sdt;curvature
Sdt;wrinkles of the face
Sdtj;ash
Sdw;Name of the Apophis
Sdw;Foreskin
Sdw;Cloud
Sd-Apd;Frog
Sd-xrw;ship
Sd-xrw;foreign vagabond
Sd-xrw;pots burning
Sdj;burnt offering
Sdj;snake
Sdj;sacrifice site
Sdj;cavity
Sdj;cave
Sdj;Name of the sun god
Sdj;Friend
Sdj;Pottery
Sdj;Ancestor
Sdjt;goddess of primeval times, in the form of a snake
Sdjt;womb, womb
Sdjt;fish tank
Sdjt;bury, buried
Sdjt;burial
Sdjj;burial
Sdw;burial equipment
Sdwt;coffin
Sdwj;state of a high deciduous tree
Sdn;to roll
Sdrt;god; scribe of Osiris
SdH;precious stone
SdHt;child
SdHw;child
SdSd;axe, axe
SdSdtj;taming
Sddt;wooden neck clasp of the prisoners
SDt;light, bright
qA;bronze device
qA;building material for temple
qAt;part of the sky
qAw;Designation of the moon
qAw;cauldron
qAw;hammer, chisel
qAw-Haww;people working in quarry
qA-sA;baün
qAA;ingredient of a magic remedy
qAA;harpoon tip
qAA;bone
qAAt;Shoemaker
qAAt;work in assembling ships
qAj;difficult, bad
qAj;Bad
qAj;country from which incense comes
qAj;official used
qAj;Sparrow
qAjt;Fruits
qAjw;Alabaster vessel
qAjw;eat
qAjjtt;Cuckoo
qAa;peel off
qAaw;way to drive enemies like game
qAa-ns;tree
qAw;bark
qAb;sorceress
qAb;instrument of torture
qAb;carrying chair
qAb;snake
qAb;Pot
qAbt;Shape pots
qAbt;being, kind, shape
qAbt;perimeter
qAb-mAa;sleep
qAb-Hb;plant forbidden in Philae
qAbj;sleep
qAfj;foreign tree
qAnt;kite
qAr;sculptor
qArt;mason
qArt;patron god of Osiris
qAhd;walk around
qAH;environment
qAH;outline drawing
qAH;being
qAHt;rent
qAHjjt;tear down
qAHt;altar
qAs;ear harvest
qAs;eastland
qAs;incense
qAs;syrian goddess
qAs;Kadesh
qAs;sleep
qAs;Revision of cattle
qAqA;plaster, stucco
qAqA;plaster worker
qAqA;thorn bush
qAqA;run, run, hurry
qAqA;jug
qAqA;Poor
qAqAw;part of theban necropolis
qAqAw-n-arrjt;oil
qAd;dress
qAd;jug
qAd;hoe
qAdt;hand
qAdjt;pastry
qj;Basket
qj;Ka
qj;<<change with {T}>>
qjw;Other
qjw;so
qjs;say
qjs;as character
qjs;Ka
qjs-anx;Power
qjswt;food
qa;Name
qa;Vessel material
qaa;bull
qaH;appear
qaH;male snake
qaH;Nile arm
qaH;the central mast of the Min Shrine
qaH;thought
qaH;female genital
qaH;food
qaH;work
qaH;product
qaH;spirit, property
qaH;food
qaHt;in list of garden products
qaHt;Fruits
qaHt;Trades
qaHt;vessel
qwpr;pure bull = natron
qwnk;war craft
qwr;name of turtle
qwr;Name of hippopotamus
qwqw;type of cattle
qwt;sacrificial bull
qb;festival, month
qb;Temple vessel
qb;Osiris mysteries
qb;sacred white bull
qb;ropes of the ship
qb;property of the eye of Horus
qb;noun
qb;think
qbt;harlot
qbt;Nubian ship
qbw;official used
qbw;precious brown material
qbj;something bad
qbjjt;worker
qba;carry, lift
qbw n wt;smoking device
qbb;to burn incense to someone
qbb;incense
qbb;shelter
qbbt;cover
qbbt;eyelid
qbbt;hide
qbH;catch birds
qbH;house where princes are brought up
qbH;firing
qbH;incense
qbH;piece of linen
qbH;vault of the sky
qbH;roof of a house
qbHt;Name of a disease demon
qbHw;Bird
qbHw;Bird catcher
qbHw;Name of crocodile
qbHw;9 day of the lunar month
qbHw;hide, cover
qbHw;water surface, pool
qbHw-sbAw;sky
qbHwt;vine rod
qbH-snw=f;garden
qbHjt;gardener
qbHw;term for barley
qf;gardener
qfAt;to be blind
qfAt;Blind
qfn;Garden
qfn;Gardener
qfn;Gardener
qfn;Chapel
qfn;Fraunname
qfnw;Chameleon
qfnjj;Gardener
qfqf;Vessel
qfqft;Dress
qmA;Nubia
qmA;plant
qmA;in a comparison
qmA;noun
qmA;something morbid
qmA;cry out
qmA;Achtuug
qmA;äffin
qmA;other
qmA;also
qmA;abroad
qmA;one and the other = people
qmAt;applause, cheers
qmAt;register
qmAtj;bow to
qmAtj;monkey
qmAw;crowd, people
qmAw;animal
qmAw;worker
qmA-a;monkey
qmA-ntj;commandeer
qmAtj;you
qmAtj;crowd
qmAtj;sacred tree
qmj;part of the wagon
qmj;carry, lift
qmj;vessel for liquids
qmj;soles
qmw;wildness
qmH;Byblos
qmHw;ship
qmqm;large seagoing ship
qmd;sacred tree
qmd;woven basket for grain etc.
qmd;cut off hands of enemies
qn;sole of the foot
qn;bread
qn;measure for meat u a
qn;to sing praises to someone
qn;noun
qn;flint
qn;knife
qn;stone
qn;plant part
qn;sparingly o ä
qn;open
qn;denude
qn;foot frame
qnt;sparingly
qnt;ointment
qnt;expose
qnt;gape
qnw;prey
qnw;prey
qnw;bundle of arrows
qnw;drool
qnw-aSA;Crete
qnt-jkw;sea ships
qn-aba;crown of lower egypt
qn-rnpt;like
qnj;pile of burning charcoal, charcoal kiln
qnj;black
qnj;Black
qnj;pupil
qnj;black leather
qnj;epithet of the god of Athribis
qnj;serapeum in Memphis
qnj;complete
qnj;service
qnjt;lament
qnjt;disease
qnjt;goddess
qnjt;name for sacred black cattle
qnjt;egypt
qnjw;egyptian
qnjw;Paid
qnjw;tail
qnjw;large granite vessel
qnjw;controlled delivery
qnb;egyptian
qnbt;Gau of Athribis
qnbt;bitter lakes
qnbt;byname of Osiris
qnbt;end form
qnbtj;perform work
qnbtj;God
qnnj;name of Osiris and Min
qnnj;Goddess
qnr;Wisdom book
qnH;snake
qns;food
qnqn;officially used
qnqn;something made of leather
qnqn;delivery, payment
qnqnt;personal name
qnqnw;dancer
qnqnjt;made of ivory
qnqnwjj;pastry
qnd;falcon headed god
qnd;device
qnd;creator
qr;hatred, unpopularity
qr;be disgruntled
qr;call
qr;name of a goddess
qrt;slander
qrt;lyre
qrtj;to complain
qrtj;wrap
qrj;stain
qrj;dean star image
qrj;evil bird
qrj;animal fighting with baboons
qraw;eclipse
qraw;big oasis Khargeh
qrf;valuable stone
qrf;baboon
qrft;name of Apophis
qrft;star
qrfw;palace
qrmt;to become dark, to darken
qrnr;Shrine
qrnt;eclipse
qrr;24 day of lunar month
qrr;land in the hereafter, Nubia
qrr;Dam
qrr;Nubian
qrr;Product from ocher; kind of ocher
qrr;object made of wood
qrr;pathological condition of the breast vessels
qrrt;beat with tail
qrrt;dress
qrrt;testicles
qrrtj;boat
qrH;horns
qrHt;dungeon
qrHt;erase
qrHt;Jewelry of Nubian slaves
qrHt;Vessel for incense and honey
qrH-mr;Household utensils
qrs;sack, bundle
qrs;jump
qrst;Bread
qrstt;Bed
qrsw;cairn
qrqr;Knife
qrqr;massacre, bloodbath
qrqr;cords
qrqrw;blow strongly
qrt;cast shadows
qrT;emit
qrD;beings in the sky
qrDn;push , damage
qH;Designation of Seth
qH;arrogant, rough
qH;malice
qH;food
qH;big clay jug
qHt;darkness
qHj;measure for food
qHn;sanctuary in Edfu
qHqH;grow old
qHqHw;cut, polish
qs;divine being
qs;cough
qs;noun
qs;vessel
qs;free run
qsn;from the posture of a prisoner
qsn;droop
qsnt;ship
qsnt;dress
qsntj;ability, strength
qsnw;bend
qq;the strong
qq;bow
qq;Measure for grain
qq;Tree
qq;Defiance offer
qq;adversary
qq;patron god of Osiris
qq;dance
qqtj;dancer
qkAjt;basket with legs
qtAjt;dancer
qtAjt;woven basket
qtj;Nubia
qd;pour
qd;official used
qd;woodworm
qd;be dark
qd;Rattle
qd;animal that eats grain in barn
qdt;female counterpart of one of the 8 primordial gods
qdt;darkness
qdt;eclipse
qdw;eclipse
qd-jnb;one of the 8 primeval gods
qd-kA;name of the flood water
qdj;Eclipse
qdwt;twilight
qdwt;small, to be small
qdww;name of the uraeus snake
qdb;fireplace for cooking
qdf;fireplace
qdf;cauldron
qdfw;sun god
qdm;Weapon
qdrt;gold
qdS;tremble, quake
qdSw;temple utensil
qdd;officially used plant
qdd;beat
qD;eclipse
qD;grow old
qD;name of a small dog
qD;to be small
qD;Small
qD;smallness
qDj;Louse
qDwr;plant
qDmr;Metal jug
qDn;Little
qDr;ostentation
qD(t);Charioteer
qDD;Ceiling
k;Vessel of silver
k;Charioteer
k;jug base
kt;twist
kA;sing
kA;smear
kA;next to goat hose, as a device
kA;launch ships
kA;herons
kA;further
kA;goddess
kA;fragrant plant
kA;capsize
kA;bird
kA;to revile someone
kA;clay bowl
kA;moisten
kA;god in the Amduat
kAt;place name in the realm of the dead
kAt;Chapel
kAt;tool:
kAt;look in amazement
kAt;be narrow
kAw;lack
kAw;fall down
kAw;inert
kAw;shortage
kAwt;bottleneck?
kA=k-mn;charges
kA-wab;bundle
kAt-pr-a;box
kA-mnH;Coffins of apis animals
kA-mHj;bottleneck?
kA-n-jdr;without breath
kA-n-xrjt;Horses
kA-Hr-kA;pastry
kA-Hr-kA;Mass
kAt-Hspt;arm
kA-HD;Leaf
kA-Sspt;Eyelash
kAA;Employee
kAAw;Bird
kAj;monkey
kAj;repel
kAj;bake
kAjt;pastry
kAj-km;squeeze
kAwt;be dull
kAwtj;shoulder
kAwt;traürn
kAp;body part
kAp;jewelry
kAp;3 leap day
kAp;God in the sky
kAp;pour something away
kAp;burn brick
kAp;reed
kAp;something belonging to beer
kAp;name for enemies
kApt;cackle
kApt;look in astonishment
kApt;astonishment
kApt;goddess
kApw;pastry
kApw;officially used plant
kApw;fragrant plant
kApw;monkey
kApw;monkey
kApw;mourning
kApAp;bull
kApw;fragrant plant
kAp(t);horses
kAm;pull together
kAm;warring against
kAmw;bread
kAmwtt;box
kAmj;capture
kAmn;monkey
kAmn;sack
kAnw;noun
kAnj;squint
kAntjj;to be crooked
kAr;talk
kArt;to tie, to fill barns
k(A)r(A);title
kArj;incline
kAs;sky
kAs;fish
kAS;Building
kAkA;Arm
kAkA;side, wall
kAkA;dazzle
kAkAwt;Verb of movement:
kj;Blame
kjt;to be weak
kjt;damage
kjj;Coptos
kjj;stake
kjj-bw;Epithet of Min
kjj-kjj;Goose
kjw;Geb
kjw;earth
kjw;fields
kjw;bird hostile to the dead
kjwj;prostrate
kjrj;be lame
kjrj;lame
kjkj;illuminate
kaf;heap of corpses o ä
kw;bad heart condition
kwj;flood
kwnt;cloudburst
kwSn;ward off
kwt;Ibis
kb;genies
kbwj;Weakness
kbjjt;Hathor
kbn;yoke sleeping leg
kbn;find
kbnt;Vegetable plant
kbs;plant in kyphi preparation
kbs;investigation
kp;edible fruit
kp;to see, to behold
kpjt;designation of the eye
kps;part of the door
kps;branches
kf;wick, candle
kf;curl, hair braid, temple
kf;widow
kf;double part of the door
kfA;priest in Edfu
kfA;bird of prey
kfA;break
kfA;touch
kfA;way of talking foolishly
kfA;to be respected
kfAt;ruler
kfA-jb;engrave, carve
kfA-tAwj;vessel for wine
kfj;souvenir
kfj;branches
kfa;Bird
kfa;Stand for small bowls
kfa;Waters
kff;Annals
kftjw;Picture door
kftjw;people
km;repel, reject
km;basin
km;be weak
km;Weak
km;part of plants
km;fragrant wood
km;food
km;weak = giving birth
km;weakness
km;fat between intestines
km;mist
km;fasten
kmt;wings
kmt;serve
kmt;star
kmt;violence, injustice
kmt;edible plant
kmt;select, distinguish
kmt;plant from Wadi Natrun
kmtj;vessel for milk
km gm;Loud
kmtjw;also, but
km-wr;also, also
km-wr;silence
km-wr;Silence
km-pHwj;fishes
km-kAt;see, consider <<error for {ptr}>>
kmA-wr;also, furthermore
kmj;Silent
kmjt;Poultry
kmjt;Pigeon
kmjj;garment
kmj(t);work on the chariot drawbar
kmw;seize
kmw;dry myrrh
km(w);finish something
kmnw;control residues
kmr;finish
kmrj;one of the 8 primordial gods
kmH;Night
kmk;<<with superfluous {t}>>
kmt;female deity
kn;nights
knt;officially used plant
knj;chatterer
knj;nets, set traps
knjt;trapper, hunter
knjw;establish, set up
knjnjwr;be ready
knwjj;equipment
knm;settling
knm;lie
knm;talk
knmt;Cheer
knmt;Plant
knmt;Catch
knmt;farmland
knmt;Liar
knmtj;traps, nets
knmtj;establish household
knmtj;set bird trap
knH;liar
knH;body part
knH;dowry
knHw;kidneys
knHw;disease
knst;torpor, exhaustion
kns;Gazelle
knstjw;Noun
kns(w);Female gazelle
knkwt;traürn
knkn;Page
knkn;half
knt;to incline
knt(j);anoint, to anoint oneself
kr;name of a man who stretches leather
krtj;fish
krj;run
krp;neighbor
krmt;pastry
krr;ointment
krHt;external disease for women
krs;temple
krs;someone's neighborhood
krSt;incense
krk;administration
krkr;state administration
krkr;Administration
krt;sacrificial pastry
krT;Migraine
khA;tip
khA;protect
khA;protector, guardian
khAw;protect
khb;migraine
khb;part of the carriage
khs;justice
khsw;incline
kHA;rest bed
kHn;Antelope
kHn;sack
kHH;hurry
kHss;be rebellious
kHkH;Mass
kHkH;being in the sky
kHkHt;mineral substance
kHkHt-nt-srjt;small desert animal
kHt;water body in delta
ks;Mass
ks;order, regulate
ks;overflow
ks;links
ks;run
ks;palette of the scribe
ks;Designation of the testicles of Seth
ksj;migratory birds
ksjj;waters
ksw;double inner body part
ksb;small animal
ksbt;noun; see {aggt}
ksm;box
ksm;oil
ksk;bread
ksks;poor
ksks;pack
ksks;Pastry
ksks;Bread
kskst;Name of the turtle
kskst(jj);white bread
kS;this
kS;earth, soil
kSw;lion
kk;potter's oven
kk;be hot
kk;burn
kk;gate
kkt;sacrificial animal
kkt;Earth
kkw-knmt;Heat
kkjt;heat
kkw;oil tree planting
kkw;both countries
kkw;End of the earth
kkwt;dwarf country
kkw-smAw;bread
kt;East
ktj;West
ktjwt;Reliquary of Abydos
ktwt;Oasis of Farafra
ktwt;Epithet of the city of Kadesh
ktwjtj;Necropolis
ktp;Bread
ktmt;East, left, port
ktkt;Foreign land
ktkt;bread
ktkt;egypt
ktkt;Lower Egypt
ktkt;Dendera
ktkt;food
ktkt-Srj;bread
ktt;Negro land
ktt;Name of the countries in the east of Egypt
ktt;Name for Punt
ktt;Goddess
kT;Dendera
kT;Type of baking
kT;stairs, ramp
kTm;Room, container
kTn;Stretcher
kTt;Bread
kD;Landing
kDn;Bread type
g;Nubia
gA;Fayum
gA;Favorite
gA;Upper Egypt
gA;Girl
gA;Deity
gA;sun ship
gA;all people
gA;god
gAt;realm of the dead
gAw;this
gAA;resist
gAAbt;embers
gAj;adversary
gAj;door in temple
gAj;Weaving city in Lower Egypt
gAj;Goddess of weaving
gAj;Mummy bandage
gAjt;Goddess of the city {tAjt}
g(A)jjt;clothes of gods
gAw;Pottery kiln
gAw;noun
gAw;wicked person
gAw;plunge
gAw;sink
gAwt;kill
gAwt;term for a pest
gAwt;delta dweller
gAwt;designation of Isis and Horus
gAwt;sediment
gAwt;irrigation channel
gAwt-wAt;makeshift food
gAw-Htjt;opponent
gAwj;swear word for woman
gAb;pathological condition of the nose
gAb;border, territory, gau
gAb;delimit, divide
gAbt;ram
gAbt;vessel
gAbtj;fruit
gAbw;crush
gAbgw;as
gAf;Isis blood symbol
gAf;1/64 of the {HqAt}
gAf;Fraction
gAf;measure for incense
gAfgAf;Material of the painter
gAH;Figure, figure
gAH;Chamber in temple
gAH;tree
gAs;oil
gAs;Priest title
gAst;Woman title
gAst-wabt;standard
gAswtj;Noun
gAS;consequence of head injury
gAS;groaning with toothache
gAS;official used
gAS;figure, gestalt
gAS;Toothache
gAgA;breccia, porphyry
gAgAw;officially used
gAgAwt;truly
gAgAwt;officially used
gj;Sandals
gjt;yes
gjw;Tree in garden
gjf;type of rock
gjft;to sit down, to sit
gjst;to be provided with something
gw;processing type of precious materials
gw;comrade
gw;sticks
gwA;grind
gwA;break value
gwA;knock down
gwAt;this
gwAwA;one
gwf;this one
gwn;Poor
gwst;to ask someone
gwS;support, carry
gwS;support
gwg;anointing vessel
gwtn;air
gwT;pillar
gb;erect serpent
gbt;culmination
gbt;leg
gbw;temple roof
gbA;what the king thinks of sorrowfully
gbA;Evil
gbA;swelling
gbA;noun
gbAw;anointing oil
gbj;term for the legs
gbj;lintel
gbtjw;Sandals
gbw;Plant
gbtjwj;Pipe
gbb;device
gbb;reject
gbb;treat reverently, respect
gbb;keep away from something
gbgA;clean
gbgb;cleaning
gbgb;purifier
gbgb;waters in the realm of the blessed
gbgb;Bread type
gbgbt;rod
gp;retreat
gp;Dress
gp;sandals
gp-n-mw;Noun
gfn;statue, image
gm;to be the same, equal
gmt;perfect, beautiful
gmtjjw;to gather, to be gathered
gmw;united
gm-bAw=s;equality
gmA;wise
gmj;perfect in form
gmj;lion shaped god
gmj;apron
gmj;heap of corn
gmjjt;fish
gmnn;oil
gmH;reward
gmH;Box
gmH;product of the wadi natron
gmH;pay
gmHt;Furniture
gmHt;Head
gmHt;Brain
gmHwjj;Bone marrow
gmHs;Outflow
gmHsw;hand timpani
gmgm;cramming
gmgm;cut
gmgm;Seth
gn;heel
gn;prick
gn;product of the Wadi Natrun
gnt;pick
gnt;plant
gnw;pull someone up
gnw;move
gnw;carry
gnw;deity
gnwt;head
gnwtjj;person
gnbtjjw;Beginning
gnf;8 day of the lunar month
gnmjjt;on
gnn;Dagger
gnn;Head
gnn;Uraeus snake
gnn;Crown of Upper Egypt
gnn;designation of the eye
gnnt;fine anointing oil
gnnt;Boat part
gnnw;First
gnX;before
gnX;Aphroditopolis
gnX;former
gnX;former state
gnXt;Dean
gns;prisoner
gnS;dean
gnS;to the side
gngnt;Traür
gngnt;fabric of fine weave
gngntj;Correctness
gr;Sample in arithmetic
gr;service table
gr;correct order
gr;word
gr;base of triangle
gr;radius of circle, sphere
grt;bite
grw;saying
grj;in front of someone
grj-pt;beginning of the year
grb;annual
grb;instruction, order, arrangement
grp;to give instruction
grm;someone's task
grn;throne
grH;ancestors
grH;roof
grH;calculation
grH;violence
grH;Boat part
grH;head bandage
grHt;trouble
grHjt;difficult case
grS;earth life
grqr;morning, in the morning
grg;part of the necropolis
grg;plumage
grg;interest, professional tax
grg;scalp
grg;disease of the head
grg;official used
grg;Fruit
grg;ingredient of medicines
grg;sew
grg;spit, to be spat out
grgt;located on
grgt;first
grgt;best
grgt;best linen
grgt;big woods
grg-pr;snake
grg-pxA;inhale
grgj;beef
grgjt;fish
grgt;stab
grtj;Baür
gHw;the former
gHw;Teeth
gHs;epithet of Hathor
gHs;Aphroditopolis
gHst;ancestor
gs;located before
gs;Dean
gs;chapter
gs;fine oil
gs;earth dweller
gs;Necropolis official
gst;?
gst;Being in the realm of the dead
gsw;Caraway
gsw;officially used
gsw;Apple
gsw;brave
gsw-prw;those
gswj=fj;spit
gs-wr;Saliva
gs-pr;Saw
gs-pr-nswt;those
gs-pr-Ht;remove by force
gs-pxA;saw
gs-mAa;noun
gs-Hrj;good quality
gs-dp;orphan
gs-dp;rejoice
gs-dpt;joy
gs-DADA;harm
gs-Db;orphan girl
gs-Db;Goddess Tefnut
gsA;scorpion
gsA;rejoice
gsA;Lapis lazuli
gsA;be blue
gsj;lapis lazuli land
gsj;useful plant
gsj;confusion
gsptjw;sacred tree in Edfu
gsfn;God Atum
gsfnw;stop
gsm;not
gsr;be complete
gsgs;make complete
gsgs;All
gsgs;sacred snake in the gau of Pithom
gst;Sledge
gstj;fish
gstj;Cloth
gS;humanity
gS;designation of the moon
ggt;poultry from the swamps
ggA;tireless
ggt;do not allow
gt;Osiris
gt;judge of the dead
gt;sacred tree in the 3 gau of Lower Egypt
gt;mat
gD;sack
gDm;pack of soldiers
gDD;mat
t;mother
t-Hnqt;something sick
t-HD;mat
tA;precious material
tA;disease
tA;bad people
tA;close
tA;wound
tA;box
tA;humanity
tA;amulet ritual
tA;warrior
tAw;turn to someone
tAw;sprinkle something with powder
tAw;powder
tAw-n-Ddwt;smash
tAwj;to undo something
tAwj-rxtt;this
tA-Axtjw;storehouse, rick
tA-ASr;Basket
tA-jAbtj;body part:
tA-jmntj;Stand
tA-jnsw;grow old
tA-jH;Age
tA-jst;old age
tA-anx;strong
tA-axj;name of the king in battle
tA-wr;compete with someone
tA-bnr;field
tA-m-arar;water body in the XII - XXII gau of Upper Egypt
tA-mrj;be difficult
tA-mHw;dorsal fin of Synodontis <<s {xnw}>>
